id,score
38436aadef3d4b608ad089cf53ab0fe7,5
edb8c179c5d64c9cb812a59a32045f55,4
333464d7484b43e3866e86096bc4ddb9,6
4b995e60b99d4ee18346e893e007cb8f,6
f6b9ca94aed04ba28256492708e74f60,6
216abb4056a64b198bdc6544830c822a,1
ca209b4e19064d8e9834b3ca1a3f5361,1
dd363c09e4744c4b977499f215289b35,5
098e4b0acf17440da9cbd7c036c53d3b,6
63c89317413046f483020585f0cc8dc4,5
b53c5e9b7436453fa13a416a23b512cc,2
057e9dcc3c7e4b93825170808839e08a,2
34ec5b3dfe824cbb92ec3b331168abbc,8
d7014b5619c64e7284da1d4ebcab02e0,5
4cb6476872b64e9698209f9b66bf53b8,1
63b054a38b884e7f84f2f19ea9d1d0f1,4
e5203e026db04d4aa8c3fc908a22ff8a,3
647344ef8f9e40f9bf67253d14900282,10
5d8ba3e1b3574cfa922177cc8d17f376,2
7886ce513f104d4888e53ce909636a84,5
bb45d04bc83a4e9da09591162da5a024,6
cb443a0cb9364c02bf56cd6290cdcb9e,12
486d0ab7ce6d4af583a10af82e510cf3,5
510a3ac720074f8d889bfb4972ea4fe5,2
4bd22e9a9a8f450aaa7c5bfbab42a350,2
292302a4d8b94f6795dd4221993c9a1e,3
7614fa32a6894938ac7b517974fba57f,2
593ba47b6c27423b9818d0fd24a16661,5
09cbe9464fbb405da81c24b7412b8683,5
9cc6d50fb18b4a7483dcb50c9d3f58a2,0
2f8ce34b212f453c80d206a7673590aa,2
e05d49a06e574b16937150b0b6fc1f91,1
ed176712ec8c48488ab37128cc701275,3
7c0a31291d4b40838ac1b1d3ca13b27d,19
e042de3e274a49d8827bce5e167ce746,6
61a0ec7d62c9421d801ee7940c69dff6,3
c0646acfc63641b38b66823277b639ff,6
70b9a5ca276b42c28643b048362fb4b9,2
170df869a211433dbd8308e08b36193b,3
20557646f4fd4c3c9e10a53d2a9339e7,3
648645c66dd54652b55ddf58b047b3fc,9
93a9f353647647fc90ab5c7d4994880f,4
e969c8f160794ced86e99d0d699ccb75,7
fdea1804e8454cdeaa60a6f54ee94ed9,37
8390a9e17c504029a46bcf38812753e3,2
5110a9d4bd6c42d1814e8613d5477afe,3
e999912603ee4a5c908c4aa68f8f46ba,1
08358aec180a436193348d59a4eae6a1,3
105b8728d4cc44e2bf556a0125540b8c,9
eeb03f7a719d43e09fb37a27d2ee0573,4
929a07cfd0894eb99d92e1f4134c36ff,10
c29e31d911ee41948e9da980babea379,5
b46a4d68a59841eaa3b67cffe5ae3a76,8
8a52e7b9507b465288d6a824ba06b46c,5
2efb6412a30c4af489d3f5593808c85d,4
ca1aa87edb39433f81e145b0a31848b8,3
95b06f6b474d4335bcd5e15396f117bc,2
bb90cfb3973c442d96fb0f2b1149a515,1
dfebe8fcbfb34dc4802eaaaaf6e484d2,8
09fd23b517994b35adf491491ab1a617,1
51294ce29fdb45369fd69611158a49cb,3
1eef7c197fc54878b0606c54b3fcd4d5,1
d7e0c8784b764778a9345742c0b9651e,3
babdcc271cad440c83de9adcc36f8a90,0
e7d121816b1b4dfe979d878fc1de8634,8
54dadf799a374ba09c0a7049b0144691,2
26a117d29ee345cea2e623dbb7ef6a3c,1
d01df87562b243b08475ad7b01356666,2
fa33986a3f5e46918e859acb78e6f0ea,1
b05123677f7c45d2bc3a0a8b4c388853,1
3fe0b50f06444a2489e1ae707afb74c1,27
c177a08b702d4f2a8f9f77ebaf023ebe,5
7373dbeb14a24f8794a42a0f76b61362,6
a986ff73b02548f2a0899773cee3f162,4
3114db6f2de843c392b0c48d060dabfd,5
b86fe19e2695411199fc4fa8685aebbe,4
a57ee011f87240cbbe83a215243ef70d,1
8bf85a1c2b224a7aaba8c1199f11ceb1,10
7561394a2c6b48168124184b2317a028,13
4dab84ca47a341489fd72e7d10283a48,5
7aed1337680e4cc7b2ecd0c264b61f8e,2
56ed2103be254ca9a0f5f9c386075b7d,4
d92ba0070fb84288bdf46ec6d8844bc1,4
b9476a3e1ada475ca2240779af6584cc,1
7e51ed2b4d7e4a0d96e7b9e08d1a8a1f,9
bb970f8ada00459d8e87079b61be5cda,2
7ef88ccdd78442fcb7d96745c8221c6c,2
8e991e318a8044d3ae91ea629e609cde,2
1a444e5e5824446eaf37f31effd72ce0,31
45ce9a088b374dde983c149f74f5e51b,0
641dcac85499460999c635008e3e4415,2
6203406e05a347958763646031f484af,6
685fef3a67054985bc1c7eb0ac29e5e3,4
783b9627d84844e9af323ca18dabb83c,7
21e138cf4c074248a394dca851aeda69,1
a6bc1b3b000e4ba4a7c308afc9372410,0
efac884eef5c4c059923fb886ca61b0a,0
08a105aaa206418294d7bdf291e0235d,7
9cea5d88c3504c41859cf675ffbe9da9,2
4e49aa275f3c4664b3dd77a1ca79fe2c,2
8df28a67c59c4aeea46c2ec3fe0160c3,0
7a74661f62164ab1b45eedc2bf703dcd,8
1d9992ac33c74d10aafe24af23b19ba7,3
5757c9b13ae5454dbcfcebf55e949ae4,4
64f40ee671544ed1b937c3c63dd4b672,1
e18d070584824801bc9c32bde3101f1d,3
3503d40d883247498914568458628ee4,0
f24fbc03abf14e4b8f3d5d69dd2ba662,0
5651511c3a51438caf8f27587cceb87a,7
9dcea61327f545f7a0a3f75365477555,2
b3b29fe15c864ccb81578fc55a551d34,4
cbbeafc48f7244b0b6f8b07fc6c276cd,2
f394c6a5fc38407cb5fa1de499ac51e2,1
0329df255fa945feae6829952f6c0473,2
8b6a29e46d724ea0b73910279e992e2d,3
3eecdd9e54794315a0e2e03126ba3774,2
c4846dbc89da4a2fa37992fc19b37c8f,1
d90fde19e4fa4700913bd1e6a765c555,3
38b8dfd14ad7435685c905f8e6a2b1cc,3
8df2a0be2a1a45aab5fd9fd0055209b3,3
c2cef8895c1a4a8091dd3cc7eca09b27,6
c831becfcb2b43238ea940c685e4fea3,9
f0d8a99c9bed4e5598ca08186ffd4ad7,3
65fc1d0c828140d98dec36a4f61e24e1,8
515c05a434184d5e82110835f4867616,1
25fc49af7b184a268e8581eb42202c75,1
6841d1f2f2d64d4e9bd5d08ca102d738,2
515279db857a409182fe59815c3ffbdb,1
dfa7344d1e2b4074898459a6bd465216,2
df8a16a3b7714b2caee473e33c989e60,7
71a6ab49a9444c60b45c458b57fa5960,2
23bae313f61c487b88dea20e49f5158f,1
a14e9100a0444e159f59e71b016a60ee,4
585833caefe84e15a0276710632a96e2,30
40088e822faa48e0b7b0a8f6015f05ba,3
330d0860982149b483861cc5f7cc028c,6
360c5c1a689e44f792f9abe07f2e8f9b,3
fc9c9739790d4123820538312f432cad,2
6d1982591cf54adba6e6e5025c0c68db,4
bc333663758e48b1a681d401e2f052b1,3
8e16e6c4eca9400a9734cac0a39d70c6,3
34dbfe493d284c58865bdd17620a9276,3
f8e4cc62de9c4f4185a4fdef006421bd,3
45b2b090f4ca4345a6e2154635c7df5e,1
00d405da29124997990ccfed5a0992ec,5
18f5e4d59d9f4318aa8addba94fec2d6,3
f459af287a5345c6898e7cd48024587e,1
95ce24e627f14d5fb3cac56c8e05c86c,1
2b54c5c1e1a1488fae14e0f7c2f5ef2d,2
ba6203408d6041cda1b1cb6ca19d3cad,7
e9d4552708a14051a7f30a9fbc4146ab,3
aabb24c8342544fdb366470e77376b62,1
54daae9f120c4c1db36044da58827c83,4
14e3cc02accf48f4bbfafe1697f6c553,6
da6c7c995e6c4c2097460c4559f1b29b,16
c8071c4bc4004a50acbbb79e6cb0548b,2
8c8d38d19ae94d41909996931ecc2ece,2
745659e790094192bde6c6ef81e3ce1d,3
fd0cc8ddbae2492ba4c3c78e68873114,3
49cccdd1219f4f3682d61e5d57dca516,0
68b3a6d53fb347de960a62f5395e90a0,4
02a8a9a67fb4420cad28401d9d1b37a3,2
1b12367c556346c4a053de4e5ab0f6fa,2
3c2a4d7fa38b48e6849f4e424d1302ba,4
0aa4b2fa941d4d26bf7236f3f85e3c61,0
579245b8df264e6e8bcf1a2bb081ac20,5
0c9431050f8940328a6b9934781a57c1,2
749c5632a7c34f3f86590c9f8a1da2db,3
cb7b9cab4a144e348c50a5f0b6db4648,3
e5edbcbfc9524e70bba9e0ec508ea203,3
2c5bd5eb628245acb868c81fefcfe5e0,22
ee9f542a70004124a94b2e6ae69d7ce5,1
09c872ce237842c1885d7f1584c6bdf5,5
046f0088a9a34aae9c3df3f28a2be631,1
f1d701995cb146beada859d8a6390d39,1
cb7d6e9748794768823bafcf58caa025,1
2be24a9c9d11450cb30b1c0de1410d82,5
80be2003920a4c8fb46cabde1737ba4b,0
9188450502b24362b13fc75c34ec804d,2
fac272b013a34ab2b2a00c7359ef5528,3
e978b437413048c183e3cb556f90a878,3
62d0e3b0d0da40af90dabc871f91ddf9,4
d46f28c5f7054e4daed9325cbb699aab,2
0e1c59efac814460958464a83cb8c043,0
6f8b56c50a7b4f31a66b33c743379ee7,3
6ec08061a81048c893044543533f587f,1
1ba4e24ee521493fa76703ca0f0f592c,3
3c67fe4c6ae7436da526c19b77465d5f,9
522a0bb8d5ac4d628f7b9a4f0234c569,1
2b953dd956f4446d808dd6225b753834,1
6a6106bcb8764223bc2d013e8eced27a,1
30c3f360d9a14463aa33ff87837d9fac,1
a07ded4d7b8749eb901f07e4b1867efb,1
de7c806f46de40ffa5b031987674f1e6,3
43c06ab613db49a7b02d4e7fbcc65365,23
be96fa0b92ec406b8d472e92bc69a418,20
a34f9b2ef7ba437184e2f042493eddc7,1
3d41a67bd1a84850ab0da556d6f5c9cb,2
f486e509f5404404b835d92734517848,5
9301deeabfa94d34b360e5924a0a9987,0
1f51c5c36baf4c4f928946fd7bd8785b,8
12abcfaad4a84175bf9a3973db12fe90,1
ad661ee20bbf4c9fbc160b8a99c37b00,5
ae59ef32872242349e75eb0bf2429fe7,6
20d599cd4d3846bcbc257066bf6b6ce7,6
22e8332132f34fc78d5dbfcb06070813,2
826ea84b99f947299740ae07d3a4667f,23
9fb8bd3433d74f67a7c17da52e71c2e6,1
670d5b3e43b847278bfbadb576204541,3
8a7d311722a449eabc01f0da102075fc,1
f5dab822f15f4ea38bc16a06a9ee8db5,5
8b4e6cfbbee443de8ff940d6eca19213,6
0e9ecd15b73d481c9d40fda917ea5d49,2
40fd1acd356144f088f272f13eeb48c7,3
5814bf0c788148f1b124a99fbef43080,2
f1dca534c8f94e60a2cf076ed2f062d9,3
889f5f81c2b747e389e59fcbd698410c,0
37f9f29441c7427e9c02f42ebbb1f562,2
bc5f36066b7a4663aefdc739513b27bf,5
ec9f8eed35a54a0cadea978972174ec2,2
caf5cb6b99fc444bb9bc777cf0d7e01f,1
8acaaf9fec754cfdb0de16b6287737ea,3
78404726a99947998e51fbfc057713b5,6
3ec9d9191c02455e9dd86e8afe53119f,2
3f6a7dd299d24580b14559452ad3c67d,4
f8b061d8777b4fd9a83858b8e337990b,2
805d19a29c504e0d8090d6cb08177231,5
e7fbbaa7ac334707ae7b207fc0231113,4
375a8a4c3b7341b08377ca8a4fd8fd54,4
f1c39c95e0974870926f903e9a8dde75,3
f54eeb4ae6014ffda1c5f5a74abf6e0e,3
880e9d7c1eb1482490c9f2613a090458,0
85482e569a024fc6bee30d33cc021365,7
93b5c8bdf388466b9e8f8d8f57376a0d,3
7eb6c2ee14d147819c7707a54ce52624,0
00f9376f9c864631bc970f3a49c6aa08,0
61baf191525b4a10aeca26fcd4290ad2,13
b8de841d481e4238808d075c9249d74d,0
4de93a442f1c4291998902c0e76ce0e3,4
c9c6a69320874a0ca994a41073ca6a6b,5
2ae2079d5e9a4b3bbe04500a0968015b,0
6fc5e5f31ca5456791cb631e8c0988bb,0
e478483c7bcf4687b1acef20453e50a9,3
866fe59b3ce246f48094ab046f24477a,1
a0434addd2cd4c68866cdc663b541945,4
4dae81ad2634464f90608b38e9efac91,1
9ab8819f082f4e1caf300780aae00a07,0
e2dd44feff07410ab47a30e91fe45309,12
0bcb2ba07c094c49872918192a3ad5b5,0
d37c81024a0748c9a3d64ba672d770e2,1
4f5aded3507940419819011c099924ea,2
cad015e490034363b26bf340c8d9993b,0
728e4a4b35434448b03e3ba5ea844587,0
552020eb89f94d46bb8395782e5456f2,0
e1b807ecd53e43a4a34aa66da2f9e6b2,0
07bef029c9f94e589cbc25fccc6afcb0,2
0aecd37e3037415d80fd79a194ce61f9,1
f9a86fa99af34d008f147c1b53e74696,5
fc380ef1bc6e462fbdf96e9a33f08dd2,2
bd643f64ce914236b07614287d647f85,7
94c8647750c24c6ba263e56079507a11,1
00bbc2e889c54feaae9f9afe1215ef6f,1
2cce4dbfeced4e338051a77f312c7061,1
76d4c3db67e041499b6d4b99a0f29ebc,0
9660702f1cd8444d8fd3cd5f0819cd18,2
0fdef1ea7b744e46aaaf76c1c090079b,2
7c770d90212a4bc9b29c2d73b431b636,1
bc182ef255264f6996861bf7d38215c9,6
97ca2aaf658040eda315003d4981a96f,6
04e3b218328d4533821f497bd9bd7e44,3
7ad6fe1769d14bfc8aba41743dcd4408,5
57d53326b70547d9933b73d040ce9df2,3
dae2fe2c09f14c79a2186cabdb72e7a4,3
fa0c79b8c9884ddc83a9c4570c070603,1
e52cbd712fb94a71a75df75da936de91,2
7bfd508f591d4d48a4da6fd1e2e18859,2
04c8f89ca30f4130b46374f31ec5c96c,0
223dface894e4b97a3b9c4ae806524d5,2
859f6befd1654f41a729b716b283a509,4
d3794d60061f418382d1e26f711a8133,3
1119c2d77c8e4fd4a584786052ccbd2c,3
d66289546fb74aafb8dda9afb350692b,3
4fff6e3be6774524adfad2595a69b71f,2
4ca0899b874a4d11aa9ef7a5ebe0ace9,5
06ab800396e0457a973affbfa935777b,4
02d4ff95d2eb4bee881f6320a99dbc0b,4
7a6af75a099a4ae988177397dd100477,2
f1701328bf6c419f8679e2b8d5806e2e,13
f53c3029d8ce4b56b5c652fe70153147,0
894d9187bd2e478ca213b3ae1a0c3f7f,2
5bd585028efe49f4b89701b84e6fbe8c,2
1495401c178f451fb5e7cedd7ee7f29b,3
b2774ec646124947b7ff0ea16389f491,3
5b78b7cbb0fa4d05a6a5376e37147510,1
0ea08e8dec1b46f78c48995aa58030cf,2
e3cd484366c8479abdff33443368c961,6
76d2f7dd3ce04c70a2281008b1f03ae6,7
4c62cc26d3ff4335946861cf136fbc3e,10
4605ecc562944152bb86e101806201ca,2
a799d7fa334f444ca462e28f2d5eaed1,2
f5686f2391014b9ab1335ce8ddb1347b,2
75101ee215ae456e831c2a03a19a1125,2
373b53e50586428486494750d4b241bf,0
9810d06231c8402aa307076ed9ed8746,0
d66c2dd81b3746ad9a72b8c48e6ad834,0
1a803f15a98d47a693f3d91fbb695a31,1
5b472a5a3e8845aab9dcc40f396b46d7,3
e8e25feea6234d549a7a8fb7c82ce9e1,4
ec6f79fe017c4ea7984193871ef0fe18,2
0025b917219c4a24ba5fe260ca66ca98,1
8b469efa88284afb907179e4c73a99af,2
ef04fe41479a4b6f9e497a36a3185e50,3
042bbf8655164b5ea67db345942fa4d4,0
60824610a30541eda9e1e7ed6b7b3599,1
4ec20d60c1c74e12af5d97b61e5ea052,0
bc35bec77e41481697a9a3d3b7ee1461,0
92759d783dcd45668c9e235e398e4f65,1
5f31c8dc746945edb56b4c93d03113ba,11
e7162f1589034a478b99b87190ea492e,12
8ce7dde9cbe04940bbcdf4577e7296f3,3
34f033dc571c40fbab5ce4fed0b057e0,6
12cdf671a31d4a9c862b46cc4b21eae2,5
b3534776e3854e8bb73d8a1b1be3511f,2
cf0a4fa5cb9b4b63948dcfe827c38969,2
7f00ff6f131243c880ced983e171a085,2
fdce59131eb74b449fa20a1ceb898149,0
9c941614f5424fdca43f79e53024d7bc,4
c8e4178889384616b66ba95072367c22,2
129ad79ae0e8403f966f1048a19edb05,3
5ac151e26a4042bba475073f6ec772fe,2
3947743c8dea45fc8cc9897c2a8ff3f4,2
c40b3ef9128d4c1181cf7be68e326a79,0
4645b4158d194318b9725c0489c627ab,2
4f63219547674e6f9077997899f8c66c,1
2afae3f3360f4232a0538e471520317a,7
2ada7da58ce34671869e551f7c6f018e,2
82acf6d8608b4743848d0c8c4e5c610b,2
0aaa08755b8446b8b97790698b3888ed,1
aa996f17e2674f86807a6ab549bdfee5,1
dc6b7280fe3e43a1b8e8ccac732cb6bd,1
fd894354f22f413e8f0a40a86c6803ac,3
8665633660014c8ab7baada1aa366109,3
d33fa6ba663d4ef79a8ebb97e588ec2d,6
3bc6f8ee03e9408db41defb92f03e91e,3
ff370f5516984405be75626575377889,2
