tags_tag_id,tags_tag_name
27490,college
461,computer-science
593,computer-software
27292,business
18217,doctor
54,engineering
129,career
89,medicine
53,science
55,engineer
29,teaching
452,nursing
18360,psychology
27286,teacher
27422,medical
18351,finance
18109,healthcare
20227,college-major
21438,professor
27295,computer
18370,law
146,nurse
51,biology
18073,technology
187,jobs
18547,education
18145,management
13909,any
5648,professional
18263,sports
162,accounting
410,university
46,lawyer
17972,marketing
21539,art
1113,career-counseling
27311,internships
18276,music
333,mechanical-engineering
18211,money
36,health
18789,stem
18216,school
27332,career-choice
27333,job
3967,student
27426,entrepreneurship
18443,career-path
11115,business-administration
21537,pre-med
18044,graduate-school
18032,math
18257,fashion
25347,educator
814,mathematics
21109,graduate
1642,programming
27392,software
18323,college-admissions
2763,job-search
22951,business-management
18726,leadership
18176,research
38489,ixzz4ofjuqwa1
27601,major
18146,police
5074,registered-nurses
197,communications
18327,help
1060,pediatrics
18338,chemistry
18315,economics
18065,tech
18457,acting
18326,journalism
27390,criminal-justice
18452,design
18328,career-paths
18445,veterinarian
692,higher-education
18005,aviation
10121,college-bound
19254,human-resources
18348,biomedical
18112,scholarships
416,civil-engineering
18335,hospital
18031,pediatrician
18028,interviews
27404,resume
5875,airline-industry
4168,careers
19533,computer-engineering
64,architecture
18460,physician
18535,degree
113,experience
18027,physics
335,electrical-engineering
2300,english
18462,medical-school
26068,sat
18021,social-work
42,veterinary
27,military
9521,biomedical-engineering
2673,dentistry
27330,high-school
18167,writing
18241,colleges
1037,volunteering
27510,information-technology
18255,law-enforcement
18459,physical-therapist
2175,students
18356,college-majors
18221,forensic
18238,general
27306,work
22872,advice
18023,architect
25878,gpa
17969,graphic-design
19334,video-games
22683,counselor
18260,mechanical
17998,investing
318,surgery
18251,travel
4851,engineers
470,nurse-practitioner
5334,pharmacy
18324,financial-services
18364,mba
28830,photography
8593,scientist
8441,undergraduate
22592,act
134,artist
11028,doctorate-degree
7478,surgeon
18222,government
19717,investment-management
27307,software-engineering
18448,office-management
27289,pediatric-nursing
18153,social
454,therapy
477,networking
18332,sports-management
18339,aerospace-engineering
1364,clinical-psychology
21630,college-jobs
2641,computer-programming
940,counseling
18368,mechanical-engineer
18010,animation
27235,bioengineering
27420,aerospace
27331,chemical-engineering
1707,internship
27283,phd
17996,chef
11460,veterinary-medicine
18056,arts
499,business-development
21514,physical-therapy
21725,salary
27395,masters
18144,sociology
18114,college-selection
18275,entertainment
18050,international
3055,marine-biology
18151,classes
18981,film
27293,financial-aid
18248,psychiatry
20312,college-minor
29255,verizon
18033,animals
18882,software-development
18106,theatre
36519,verizoninnovativelearning
18116,accountant
21722,it
367,life
27398,nursing-education
18214,actor
18124,dance
18149,history
